n_cores,n_train,n_test,n_reg,i_loop,time
48,1,1,8,0,0.034609317779541016
48,1,1,8,1,0.011978626251220703
48,1,1,8,2,0.011899232864379883
48,1,1,8,3,0.011927604675292969
48,1,1,8,4,0.011922597885131836
48,1,1,8,5,0.011968612670898438
48,1,1,8,6,0.011973142623901367
48,1,1,8,7,0.011989116668701172
48,1,1,8,8,0.012095451354980469
48,1,1,8,9,0.01193094253540039
48,1,1,8,10,0.011901378631591797
48,2,2,8,0,0.03443193435668945
48,2,2,8,1,0.012198448181152344
48,2,2,8,2,0.012156963348388672
48,2,2,8,3,0.012192249298095703
48,2,2,8,4,0.012059211730957031
48,2,2,8,5,0.012082576751708984
48,2,2,8,6,0.012040138244628906
48,2,2,8,7,0.012062549591064453
48,2,2,8,8,0.012033224105834961
48,2,2,8,9,0.012107372283935547
48,2,2,8,10,0.01192164421081543
48,4,4,8,0,0.033438682556152344
48,4,4,8,1,0.012364387512207031
48,4,4,8,2,0.01233816146850586
48,4,4,8,3,0.012380361557006836
48,4,4,8,4,0.012345552444458008
48,4,4,8,5,0.012346744537353516
48,4,4,8,6,0.012400627136230469
48,4,4,8,7,0.012372493743896484
48,4,4,8,8,0.012597799301147461
48,4,4,8,9,0.012346029281616211
48,4,4,8,10,0.012322187423706055
48,8,8,8,0,0.03339886665344238
48,8,8,8,1,0.012128591537475586
48,8,8,8,2,0.012079238891601562
48,8,8,8,3,0.012028932571411133
48,8,8,8,4,0.01205897331237793
48,8,8,8,5,0.012051582336425781
48,8,8,8,6,0.012039661407470703
48,8,8,8,7,0.012009143829345703
48,8,8,8,8,0.012060165405273438
48,8,8,8,9,0.012172937393188477
48,8,8,8,10,0.011986255645751953
48,16,16,8,0,0.03325223922729492
48,16,16,8,1,0.012172222137451172
48,16,16,8,2,0.012094974517822266
48,16,16,8,3,0.0121307373046875
48,16,16,8,4,0.012120962142944336
48,16,16,8,5,0.012132406234741211
48,16,16,8,6,0.012107133865356445
48,16,16,8,7,0.012148380279541016
48,16,16,8,8,0.012372016906738281
48,16,16,8,9,0.012081384658813477
48,16,16,8,10,0.012089729309082031
48,32,32,8,0,0.03442549705505371
48,32,32,8,1,0.012285709381103516
48,32,32,8,2,0.012247085571289062
48,32,32,8,3,0.01219487190246582
48,32,32,8,4,0.012199163436889648
48,32,32,8,5,0.012204885482788086
48,32,32,8,6,0.01217198371887207
48,32,32,8,7,0.012156486511230469
48,32,32,8,8,0.012136220932006836
48,32,32,8,9,0.012221574783325195
48,32,32,8,10,0.01208043098449707
48,64,64,8,0,0.03414154052734375
48,64,64,8,1,0.012495756149291992
48,64,64,8,2,0.012449026107788086
48,64,64,8,3,0.012471675872802734
48,64,64,8,4,0.01240682601928711
48,64,64,8,5,0.012326955795288086
48,64,64,8,6,0.012464046478271484
48,64,64,8,7,0.01235508918762207
48,64,64,8,8,0.01233816146850586
48,64,64,8,9,0.012434244155883789
48,64,64,8,10,0.01227569580078125
48,128,128,8,0,0.03531765937805176
48,128,128,8,1,0.01337575912475586
48,128,128,8,2,0.013383626937866211
48,128,128,8,3,0.013276338577270508
48,128,128,8,4,0.013249635696411133
48,128,128,8,5,0.01338052749633789
48,128,128,8,6,0.013507843017578125
48,128,128,8,7,0.013251304626464844
48,128,128,8,8,0.013455629348754883
48,128,128,8,9,0.013352155685424805
48,128,128,8,10,0.013078689575195312
48,256,256,8,0,0.04116964340209961
48,256,256,8,1,0.018976688385009766
48,256,256,8,2,0.01903510093688965
48,256,256,8,3,0.01859760284423828
48,256,256,8,4,0.01843714714050293
48,256,256,8,5,0.018543481826782227
48,256,256,8,6,0.018630027770996094
48,256,256,8,7,0.018465042114257812
48,256,256,8,8,0.01885700225830078
48,256,256,8,9,0.018700599670410156
48,256,256,8,10,0.018052339553833008
48,512,512,8,0,0.05827689170837402
48,512,512,8,1,0.03400731086730957
48,512,512,8,2,0.03210711479187012
48,512,512,8,3,0.03204917907714844
48,512,512,8,4,0.03176760673522949
48,512,512,8,5,0.03173685073852539
48,512,512,8,6,0.03232574462890625
48,512,512,8,7,0.032315969467163086
48,512,512,8,8,0.03226041793823242
48,512,512,8,9,0.032628774642944336
48,512,512,8,10,0.03219723701477051
48,1024,1024,8,0,0.13550710678100586
48,1024,1024,8,1,0.09886884689331055
48,1024,1024,8,2,0.09822869300842285
48,1024,1024,8,3,0.09790372848510742
48,1024,1024,8,4,0.09723711013793945
48,1024,1024,8,5,0.09656286239624023
48,1024,1024,8,6,0.11422157287597656
48,1024,1024,8,7,0.09827518463134766
48,1024,1024,8,8,0.09821200370788574
48,1024,1024,8,9,0.09726357460021973
48,1024,1024,8,10,0.09755206108093262
48,2048,2048,8,0,0.6028759479522705
48,2048,2048,8,1,0.5515923500061035
48,2048,2048,8,2,0.5623757839202881
48,2048,2048,8,3,0.5456759929656982
48,2048,2048,8,4,0.5422735214233398
48,2048,2048,8,5,0.5448174476623535
48,2048,2048,8,6,0.557018518447876
